aX,aY,aZ,gX,gY,gZ
0.365,1.861,1.065,73.669,-55.725,-33.508
0.626,1.982,1.278,92.712,-68.848,-54.565
0.940,1.915,1.523,107.300,-79.224,-79.285
1.365,1.751,1.814,114.563,-94.788,-97.717
1.856,1.675,2.156,111.145,-115.540,-99.609
1.990,1.625,2.471,91.064,-135.559,-71.594
1.764,1.722,2.564,55.420,-142.883,-19.836
1.267,1.838,2.400,22.461,-109.558,35.095
0.716,1.826,2.192,0.610,-24.109,85.571
0.246,1.779,1.922,-20.630,76.416,132.202
-0.294,1.646,1.503,-53.162,146.057,174.194
-1.184,1.532,0.948,-109.741,172.302,206.787
-2.474,1.323,-0.058,-180.847,174.988,231.873
-3.599,0.413,-0.810,-217.346,182.312,216.553
-3.947,-0.624,-0.939,-210.083,176.636,139.221
-3.495,-1.664,-1.112,-199.036,123.901,26.611
-2.686,-3.013,-1.342,-177.124,49.255,-103.271
-1.388,-4.000,-1.493,-109.436,-5.005,-232.971
0.565,-4.000,-0.799,60.974,-50.293,-337.097
2.356,-4.000,1.011,311.157,-137.207,-369.324
3.180,-4.000,3.663,507.812,-333.923,-324.646
3.712,-4.000,4.000,533.264,-615.662,-216.553
2.868,-3.193,4.000,394.226,-744.324,-95.764
2.377,-2.685,4.000,153.259,-489.990,-25.940
1.810,-2.671,3.125,-117.065,-19.592,21.362
0.466,-2.545,1.781,-282.288,314.453,100.098
-1.323,-2.193,0.628,-305.542,439.209,159.302
-2.482,-1.006,-0.209,-237.244,404.480,167.603
-2.401,-0.439,-0.340,-163.574,284.119,165.100
-2.260,-0.146,-0.473,-120.789,128.052,130.676
-1.782,0.088,-0.589,-108.215,9.460,71.045
-1.140,-0.055,-0.518,-95.276,-18.494,31.311
-0.725,-0.039,-0.329,-68.726,12.756,25.635
-0.643,0.166,-0.222,-44.373,46.265,46.509
-0.629,0.257,-0.123,-31.067,53.528,62.805
-0.559,0.256,0.081,-21.240,34.302,57.800
-0.424,0.266,0.266,-12.024,-3.906,41.138
-0.273,0.178,0.434,-3.723,-41.992,25.513
-0.143,0.016,0.651,7.507,-59.143,12.268
-0.028,-0.133,0.885,20.203,-51.086,-0.183
0.092,-0.288,1.116,29.907,-27.527,-8.728
0.266,-0.425,1.329,32.104,-3.296,-9.827
0.366,-0.481,1.432,22.888,12.634,-0.061
0.387,-0.462,1.400,4.089,21.606,16.296
0.362,-0.381,1.276,-12.268,26.733,29.053
0.328,-0.301,1.186,-21.606,30.640,34.668
0.280,-0.236,1.120,-26.428,30.701,37.170
0.221,-0.178,1.061,-32.959,24.902,38.269
0.154,-0.118,0.985,-37.964,17.822,37.292
0.068,-0.069,0.938,-36.255,12.634,34.668
-0.001,-0.046,0.939,-28.809,10.742,32.471
-0.059,-0.032,0.978,-20.142,8.545,27.954
-0.088,-0.034,0.990,-16.785,2.808,21.362
-0.083,-0.056,1.002,-15.503,-4.211,13.428
-0.061,-0.091,1.020,-12.573,-10.071,7.080
-0.040,-0.072,1.032,-7.141,-11.780,3.723
-0.031,-0.079,1.055,-1.465,-7.568,1.465
-0.007,-0.131,1.091,2.075,-3.296,-0.549
0.016,-0.139,1.101,3.113,-3.235,-3.601
0.015,-0.127,1.107,2.808,-5.005,-7.446
0.014,-0.102,1.105,2.441,-7.141,-9.888
0.019,-0.088,1.107,1.038,-7.935,-10.864
0.014,-0.076,1.111,-0.916,-6.226,-10.742
0.027,-0.046,1.119,-1.038,0.244,-8.972
0.039,0.009,1.117,-1.404,9.766,-5.371
0.043,0.046,1.095,-4.028,18.494,-0.732
0.039,0.023,1.058,-7.568,23.499,2.563
0.041,0.023,1.024,-8.850,23.621,2.075
0.036,0.009,0.986,-9.155,17.090,-0.122
0.071,-0.001,0.963,-8.606,6.287,-2.258
0.093,0.003,0.957,-6.531,-3.845,-2.808
0.112,-0.016,0.984,-3.845,-7.996,-0.427
0.109,-0.019,1.010,-1.770,-6.409,4.456
0.120,-0.010,1.035,0.183,-0.916,7.874
0.122,0.007,1.048,1.099,6.470,8.301
0.133,0.043,1.032,1.160,14.160,8.728
0.123,0.076,1.015,1.038,21.545,11.902
0.106,0.109,1.007,0.244,25.452,14.893
0.109,0.127,1.004,-1.709,21.057,13.977
0.112,0.120,0.994,-5.432,8.728,9.705
0.126,0.101,0.983,-6.775,-4.700,3.235
0.146,0.094,0.996,-3.967,-13.245,-2.319
0.166,0.078,1.018,-0.427,-14.771,-3.845
0.174,0.056,1.043,1.221,-11.169,-2.075
0.173,0.060,1.056,0.732,-3.601,3.601
0.149,0.068,1.048,0.671,5.127,11.414
0.126,0.056,1.062,1.709,12.512,15.503
0.105,0.044,1.078,2.014,14.771,14.709
0.098,0.014,1.098,0.916,10.986,9.277
0.093,-0.004,1.113,-1.526,2.930,2.319
0.096,-0.012,1.117,-4.578,-5.188,-3.723
0.092,-0.031,1.097,-7.874,-10.193,-8.301
0.091,-0.035,1.074,-8.240,-10.315,-10.315
0.098,-0.039,1.074,-5.920,-4.883,-9.705
0.097,-0.039,1.082,-4.150,2.441,-6.714
0.082,-0.038,1.073,-4.944,9.216,-3.784
0.065,-0.042,1.044,-8.118,13.733,-2.380
0.061,-0.042,1.002,-9.888,14.465,-3.113
0.077,-0.051,0.983,-8.850,12.207,-4.944
0.092,-0.067,0.976,-7.080,9.338,-5.920
0.106,-0.079,0.984,-4.822,7.690,-5.676
0.113,-0.087,0.991,-3.052,9.888,-5.310
0.124,-0.098,0.997,-2.808,13.367,-4.578
0.138,-0.120,0.999,-3.845,15.076,-3.845
0.144,-0.134,0.991,-4.517,13.306,-3.906
0.154,-0.148,0.985,-4.822,8.850,-4.028
0.164,-0.159,0.990,-4.150,3.967,-3.723
0.165,-0.163,1.000,-3.601,-0.305,-2.747
0.162,-0.175,1.008,-2.869,-2.686,-1.709
0.168,-0.185,1.021,-1.770,-3.540,-1.404
0.169,-0.189,1.030,-0.366,-2.686,-0.732
0.160,-0.188,1.030,0.671,0.000,0.610
0.152,-0.195,1.028,1.770,3.906,2.014
0.139,-0.195,1.034,2.625,6.470,3.113
0.118,-0.196,1.037,2.686,6.714,3.540
0.109,-0.188,1.043,2.075,5.249,2.930
0.098,-0.176,1.034,0.244,1.770,1.160
0.100,-0.180,1.021,-1.404,-1.892,-0.488
0.110,-0.176,1.013,-0.916,-4.211,-1.709

0.613,1.198,1.276,8.728,1.831,25.940
0.719,1.625,1.353,15.686,-19.775,36.072
0.783,2.086,1.490,26.428,-47.729,47.546
0.756,2.542,1.689,39.001,-75.500,58.960
0.658,2.903,1.854,46.875,-94.727,69.275
0.564,3.202,1.901,45.715,-95.276,76.599
0.514,3.412,1.821,34.729,-70.190,81.909
0.349,3.486,1.566,16.541,-28.992,86.792
-0.011,3.363,1.173,-5.737,16.235,98.328
-0.592,3.061,0.740,-25.635,55.115,115.906
-1.402,2.649,0.292,-39.673,71.899,128.235
-2.509,2.004,-0.138,-46.509,69.214,117.004
-3.515,1.013,-0.409,-46.021,67.383,74.951
-4.000,-0.273,-0.674,-35.217,64.392,5.676
-4.000,-2.106,-0.935,-10.742,60.181,-101.440
-3.443,-4.000,-1.185,31.982,53.345,-247.803
-0.961,-4.000,-0.441,143.616,26.550,-432.434
1.965,-4.000,1.520,325.256,-59.692,-578.003
4.000,-4.000,2.942,380.615,-218.933,-538.696
4.000,-4.000,3.267,232.727,-326.050,-361.206
4.000,-4.000,2.729,74.036,-146.484,-164.124
3.341,-4.000,2.028,-44.617,229.431,24.475
1.095,-3.959,1.077,-148.010,441.895,183.228
-0.752,-3.041,0.338,-208.679,417.603,270.874
-1.695,-2.080,-0.263,-200.012,218.445,262.329
-2.209,-1.139,-0.592,-165.405,1.770,213.623
-2.283,-0.521,-0.543,-119.568,-98.694,163.208
-2.045,-0.312,-0.278,-78.552,-83.252,111.572
-1.616,-0.196,-0.069,-57.190,-39.978,59.509
-1.103,-0.084,0.017,-48.828,-25.757,33.020
-0.770,0.111,0.116,-35.706,-36.194,41.870
-0.725,0.341,0.321,-13.916,-47.058,60.242
-0.693,0.496,0.569,5.554,-51.697,64.270
-0.622,0.550,0.794,21.057,-57.190,50.354
-0.490,0.505,0.948,31.738,-64.087,29.846
-0.342,0.405,1.125,42.175,-66.956,11.169
-0.170,0.252,1.319,53.040,-63.904,-2.563
0.004,0.133,1.484,57.434,-56.580,-13.855
0.177,0.032,1.576,52.612,-43.823,-19.043
0.308,-0.050,1.573,39.978,-27.832,-16.785
0.413,-0.111,1.476,23.376,-14.954,-13.123
0.497,-0.142,1.349,8.972,-7.935,-9.888
0.544,-0.124,1.237,2.441,-4.761,-6.470
0.537,-0.085,1.163,1.404,-2.991,-2.136
0.478,-0.026,1.112,0.366,-1.038,1.587
0.399,0.029,1.097,-1.709,2.930,4.700
0.309,0.071,1.092,-6.836,7.385,7.935
0.228,0.075,1.051,-14.709,9.583,10.864
0.143,0.062,1.000,-21.057,10.315,10.559
0.103,0.015,0.971,-22.522,10.010,7.446
0.100,0.002,0.965,-20.874,9.216,1.465
0.111,-0.018,0.998,-17.456,8.911,-3.479
0.123,-0.047,1.037,-13.245,10.498,-6.836
0.173,-0.092,1.075,-10.132,11.780,-10.803
0.224,-0.130,1.129,-7.812,11.719,-12.024
0.248,-0.126,1.156,-6.653,13.123,-8.423
0.232,-0.120,1.167,-6.775,18.372,-3.479
0.223,-0.135,1.151,-8.850,24.902,-1.526
0.226,-0.134,1.120,-10.315,27.100,-1.892
0.242,-0.131,1.089,-10.376,24.902,-2.014
0.230,-0.130,1.066,-10.376,18.982,-1.282
0.228,-0.134,1.044,-10.498,14.282,-1.404
0.231,-0.150,1.019,-9.827,12.512,-2.563
0.239,-0.142,1.004,-6.653,12.634,-3.906
0.240,-0.145,1.007,-3.296,14.709,-3.174
0.253,-0.167,1.013,-3.052,16.113,-0.732
0.259,-0.170,1.041,-3.723,15.076,4.395
0.228,-0.162,1.064,-4.822,13.611,11.169
0.205,-0.142,1.089,-5.310,14.526,14.832
0.201,-0.140,1.106,-6.714,15.442,15.747
0.188,-0.114,1.097,-8.850,14.404,15.564
0.171,-0.081,1.079,-10.559,12.573,15.564
0.151,-0.055,1.042,-11.597,10.925,15.808
0.134,-0.051,1.006,-10.864,10.498,15.869
0.115,-0.046,0.977,-9.094,10.986,15.686
0.101,-0.033,0.956,-7.324,10.925,15.015
0.091,-0.041,0.940,-6.348,10.132,14.404
0.082,-0.056,0.945,-5.737,8.972,13.428
0.078,-0.061,0.949,-5.920,9.888,13.489
0.068,-0.054,0.945,-6.897,11.719,13.855
0.072,-0.046,0.950,-7.446,11.963,12.939
0.082,-0.032,0.944,-7.507,7.263,10.437
0.091,-0.025,0.934,-6.714,1.648,7.507
0.099,-0.022,0.927,-4.700,-0.977,5.432
0.120,-0.045,0.941,-2.319,0.000,4.456
0.138,-0.070,0.966,-0.732,0.732,3.418
0.157,-0.087,0.991,-1.099,-0.793,2.991
0.154,-0.095,1.000,-2.502,-3.113,3.784
0.154,-0.099,1.003,-4.150,-3.052,4.883
0.149,-0.110,1.001,-5.127,-0.916,5.615
0.150,-0.116,0.998,-5.249,2.075,5.798
0.156,-0.115,0.992,-3.967,4.333,4.883
0.160,-0.116,0.980,-3.052,4.089,3.235
0.172,-0.125,0.985,-1.709,2.563,1.770
0.182,-0.132,0.996,-0.549,1.099,1.343
0.182,-0.140,0.999,-0.610,0.061,1.892
0.178,-0.149,1.001,-0.549,-0.244,2.380
0.173,-0.160,1.011,0.183,0.610,2.319
0.175,-0.171,1.023,1.099,1.892,2.197
0.173,-0.169,1.035,1.465,3.235,2.197
0.169,-0.166,1.044,0.916,4.333,2.991
0.167,-0.161,1.043,-0.183,3.479,3.113
0.162,-0.155,1.036,-1.709,1.770,2.869
0.157,-0.154,1.023,-2.808,0.916,2.136
0.159,-0.156,1.017,-2.075,1.709,1.038
0.157,-0.157,1.021,-0.610,3.906,1.160
0.149,-0.157,1.020,0.854,5.798,2.075
0.149,-0.158,1.027,3.052,7.324,1.953
0.155,-0.158,1.037,5.066,7.996,1.282
0.165,-0.164,1.055,6.226,7.690,1.221
0.174,-0.169,1.075,6.470,6.714,1.709
0.178,-0.168,1.096,5.188,5.981,2.991
0.169,-0.166,1.102,2.136,5.432,4.639
0.159,-0.160,1.095,-1.160,4.639,5.249
0.153,-0.149,1.084,-3.052,3.784,5.371
0.144,-0.142,1.078,-3.601,3.540,5.249
0.133,-0.141,1.071,-3.479,4.211,4.639
0.131,-0.137,1.058,-3.479,4.761,4.150
0.132,-0.137,1.044,-2.991,4.089,3.052

0.673,1.030,1.503,4.822,-53.528,19.836
0.812,1.554,1.595,2.319,-78.308,25.818
0.938,2.232,1.670,5.066,-89.600,35.583
1.054,2.942,1.733,13.184,-78.613,49.561
1.258,3.483,1.737,22.766,-44.556,65.674
1.307,3.659,1.599,25.452,-0.977,72.449
1.113,3.584,1.359,15.747,41.321,75.439
0.768,3.377,1.067,-2.625,70.068,84.961
0.147,3.045,0.697,-29.541,68.298,98.511
-0.752,2.647,0.285,-57.861,42.847,109.497
-2.014,2.112,-0.181,-79.834,20.447,117.676
-3.264,1.270,-0.544,-92.957,28.992,124.329
-4.000,0.065,-0.594,-77.942,52.490,106.323
-4.000,-1.515,-0.692,-39.612,45.959,26.672
-4.000,-3.422,-1.022,10.620,6.042,-131.836
-3.040,-4.000,-0.829,129.700,-41.565,-352.173
-0.427,-4.000,0.556,340.698,-91.492,-554.199
1.774,-4.000,2.395,506.226,-162.048,-595.215
3.898,-4.000,3.352,460.999,-213.684,-468.079
4.000,-4.000,3.077,275.574,-161.011,-281.982
4.000,-4.000,2.738,119.080,103.760,-95.581
2.652,-3.855,1.994,-22.339,351.318,71.716
0.481,-3.375,1.100,-136.353,405.701,222.778
-1.034,-2.471,0.531,-185.425,302.063,281.372
-1.743,-1.619,-0.072,-173.462,101.501,257.446
-2.160,-0.750,-0.505,-147.766,-51.514,214.172
-2.030,-0.314,-0.436,-106.934,-90.698,173.950
-1.767,-0.162,-0.159,-67.444,-66.711,135.925
-1.319,-0.035,0.071,-43.579,-42.847,104.126
-0.912,0.098,0.199,-28.015,-31.860,86.609
-0.582,0.218,0.351,-14.221,-30.396,71.411
-0.382,0.279,0.545,0.732,-40.710,58.594
-0.315,0.289,0.738,15.320,-60.913,45.837
-0.287,0.286,0.866,25.146,-81.238,30.457
-0.218,0.249,1.002,31.189,-94.788,13.000
-0.139,0.181,1.166,33.752,-98.022,-0.244
-0.109,0.080,1.311,32.410,-91.370,-6.897
-0.038,-0.052,1.427,27.649,-75.745,-12.756
0.118,-0.178,1.488,20.264,-55.786,-16.052
0.221,-0.238,1.498,9.644,-38.513,-11.536
0.287,-0.238,1.398,-3.052,-25.085,-2.319
0.378,-0.177,1.257,-16.357,-12.878,5.249
0.436,-0.138,1.159,-23.315,-5.127,11.047
0.448,-0.094,1.094,-26.001,-5.005,14.282
0.429,-0.050,1.037,-29.541,-10.071,15.808
0.354,-0.020,0.963,-34.363,-13.000,16.357
0.270,-0.004,0.904,-34.607,-8.484,15.442
0.179,0.030,0.865,-30.640,0.183,14.709
0.092,0.060,0.832,-26.489,7.080,14.099
0.035,0.064,0.823,-21.851,10.132,10.803
0.025,0.049,0.821,-16.418,11.536,4.944
0.053,0.031,0.853,-10.620,12.390,-0.488
0.098,-0.020,0.917,-4.883,12.268,-4.578
0.174,-0.078,0.985,-2.686,11.597,-6.226
0.199,-0.134,0.997,-4.517,11.230,-3.479
0.205,-0.169,1.017,-4.578,15.076,-0.183
0.187,-0.193,1.048,-3.479,21.729,4.028
0.177,-0.214,1.059,-4.028,24.353,7.935
0.159,-0.211,1.054,-5.066,23.010,9.827
0.132,-0.198,1.051,-4.883,22.949,9.216
0.136,-0.187,1.054,-3.052,25.269,5.676
0.143,-0.200,1.041,-1.770,25.513,1.526
0.159,-0.232,1.037,0.244,23.193,-0.671
0.162,-0.247,1.038,2.014,22.217,-1.343
0.167,-0.271,1.027,2.869,23.987,-0.916
0.187,-0.296,1.037,3.357,26.611,1.038
0.203,-0.312,1.057,1.892,27.222,5.188
0.186,-0.315,1.042,-2.441,24.719,9.827
0.163,-0.292,1.016,-5.554,20.996,11.658
0.150,-0.266,1.019,-5.310,17.090,11.169
0.140,-0.243,1.045,-4.028,11.230,10.315
0.135,-0.238,1.066,-3.113,3.662,8.606
0.144,-0.229,1.083,-1.831,-0.793,5.432
0.129,-0.222,1.070,-0.488,0.610,3.906
0.126,-0.219,1.059,0.793,6.470,5.066
0.116,-0.210,1.038,1.587,11.414,7.263
0.103,-0.197,1.010,1.892,13.123,8.850
0.092,-0.182,0.993,2.380,12.573,8.301
0.102,-0.179,0.982,2.441,9.338,7.019
0.122,-0.186,0.973,2.197,3.540,5.249
0.143,-0.187,0.964,2.014,-2.319,3.418
0.163,-0.183,0.959,2.625,-5.432,2.197
0.161,-0.189,0.954,3.540,-4.639,2.136
0.177,-0.199,0.953,4.333,-1.160,3.723
0.193,-0.201,0.961,4.883,2.991,6.775
0.199,-0.213,0.976,4.028,6.836,10.803
0.190,-0.210,0.969,0.916,9.338,13.306
0.189,-0.204,0.961,-1.831,10.742,13.855
0.193,-0.212,0.954,-4.028,8.972,12.817
0.171,-0.211,0.950,-5.737,2.441,10.803
0.150,-0.204,0.927,-7.812,-4.028,7.141
0.152,-0.197,0.916,-7.446,-7.385,2.930
0.154,-0.199,0.933,-4.150,-7.751,1.526
0.150,-0.210,0.962,-1.709,-6.592,2.625
0.144,-0.218,0.977,-0.977,-5.127,4.028
0.135,-0.217,0.974,-1.282,-2.991,5.066
0.132,-0.219,0.978,0.000,0.000,5.554
0.133,-0.217,0.995,1.343,2.563,5.859
0.139,-0.219,1.001,0.854,3.784,5.920
0.138,-0.224,0.998,-0.305,3.113,5.676
0.154,-0.225,1.005,-0.366,2.380,5.188
0.161,-0.231,1.020,-0.122,1.892,5.066
0.164,-0.236,1.025,-0.671,1.709,4.944
0.164,-0.233,1.029,-1.160,1.770,4.883
0.163,-0.237,1.039,-0.793,2.441,4.456
0.161,-0.228,1.041,-0.549,3.784,3.845
0.161,-0.225,1.042,-0.244,5.676,3.662
0.160,-0.216,1.042,0.793,7.568,3.784
0.155,-0.208,1.050,1.709,9.583,3.967
0.154,-0.206,1.063,1.831,11.902,4.578
0.151,-0.206,1.067,0.244,13.062,5.127
0.149,-0.199,1.060,-2.014,12.695,5.920
0.146,-0.194,1.050,-4.028,10.620,5.859
0.148,-0.190,1.034,-5.005,8.118,4.883
0.151,-0.188,1.021,-5.432,6.653,3.540
0.152,-0.190,1.012,-4.822,7.263,3.113
0.146,-0.190,1.006,-3.784,9.155,3.052
0.150,-0.188,1.007,-2.136,11.719,2.808
0.151,-0.189,1.010,-1.343,13.245,2.441

0.336,1.369,1.779,-3.662,-44.006,8.728
0.513,1.910,1.787,-10.559,-58.838,10.803
0.583,2.542,1.729,-22.095,-60.974,23.865
0.515,3.202,1.605,-39.673,-41.809,49.805
0.279,3.730,1.370,-59.875,-2.319,82.153
-0.013,3.964,1.067,-75.195,48.401,107.727
-0.401,3.892,0.826,-78.491,84.045,118.408
-0.899,3.653,0.566,-77.087,82.703,111.633
-1.321,3.271,0.294,-74.585,47.913,80.994
-1.671,2.584,0.075,-56.641,-4.578,24.353
-1.976,1.459,-0.161,-23.621,-49.683,-41.321
-2.221,0.053,-0.431,13.672,-53.833,-96.130
-2.354,-1.673,-0.761,46.448,-3.357,-130.371
-1.844,-3.749,-0.890,84.595,67.322,-168.518
-0.724,-4.000,-0.645,145.691,86.792,-232.910
0.373,-4.000,0.209,237.671,28.503,-300.293
1.303,-4.000,1.152,314.758,-80.078,-336.365
1.913,-4.000,1.603,294.556,-167.236,-335.083
2.274,-4.000,1.875,235.352,-153.992,-297.058
2.506,-4.000,1.956,185.913,-35.400,-195.801
2.216,-3.823,1.867,120.422,107.178,-66.833
1.431,-3.154,1.541,42.236,181.824,39.063
0.627,-2.449,1.184,-29.114,182.556,113.098
-0.164,-1.750,0.786,-82.458,128.235,150.879
-0.731,-1.132,0.427,-110.779,53.528,154.663
-1.019,-0.670,0.274,-109.436,-0.610,140.869
-1.103,-0.365,0.393,-90.637,-22.888,124.634
-1.048,-0.168,0.565,-74.341,-26.306,107.239
-0.923,-0.028,0.640,-67.871,-19.592,87.219
-0.773,0.120,0.633,-62.622,-7.446,68.237
-0.629,0.234,0.664,-50.659,5.615,55.908
-0.524,0.287,0.729,-35.156,13.489,48.889
-0.424,0.293,0.800,-21.057,13.550,39.795
-0.282,0.249,0.881,-8.362,7.690,27.344
-0.112,0.142,0.957,1.404,-0.305,15.259
0.042,0.015,1.033,9.216,-7.874,7.874
0.160,-0.086,1.096,15.503,-11.902,6.226
0.235,-0.186,1.161,18.799,-11.597,8.179
